crop,month,soil_type,soil_drainage,maturity_in_days
rice,November,clay,poorly-drained,90
rice,December,clay,poorly-drained,90
rice,January,clay,poorly-drained,90
rice,February,clay,poorly-drained,90
rice,March,clay,poorly-drained,90
rice,April,clay,poorly-drained,90
rice,May,clay,poorly-drained,90
rice,June,clay,poorly-drained,90
rice,July,clay,poorly-drained,90
rice,August,clay,poorly-drained,90
rice,September,clay,poorly-drained,90
rice,October,clay,poorly-drained,90
rice,November,clay,poorly-drained,91
rice,December,clay,poorly-drained,91
rice,January,clay,poorly-drained,91
rice,February,clay,poorly-drained,91
rice,March,clay,poorly-drained,91
rice,April,clay,poorly-drained,91
rice,May,clay,poorly-drained,91
rice,June,clay,poorly-drained,91
rice,July,clay,poorly-drained,91
rice,August,clay,poorly-drained,91
rice,September,clay,poorly-drained,91
rice,October,clay,poorly-drained,91
rice,November,clay,poorly-drained,92
rice,December,clay,poorly-drained,92
rice,January,clay,poorly-drained,92
rice,February,clay,poorly-drained,92
rice,March,clay,poorly-drained,92
rice,April,clay,poorly-drained,92
rice,May,clay,poorly-drained,92
rice,June,clay,poorly-drained,92
rice,July,clay,poorly-drained,92
rice,August,clay,poorly-drained,92
rice,September,clay,poorly-drained,92
rice,October,clay,poorly-drained,92
rice,November,clay,poorly-drained,93
rice,December,clay,poorly-drained,93
rice,January,clay,poorly-drained,93
rice,February,clay,poorly-drained,93
rice,March,clay,poorly-drained,93
rice,April,clay,poorly-drained,93
rice,May,clay,poorly-drained,93
rice,June,clay,poorly-drained,93
rice,July,clay,poorly-drained,93
rice,August,clay,poorly-drained,93
rice,September,clay,poorly-drained,93
rice,October,clay,poorly-drained,93
rice,November,clay,poorly-drained,94
rice,December,clay,poorly-drained,94
rice,January,clay,poorly-drained,94
rice,February,clay,poorly-drained,94
rice,March,clay,poorly-drained,94
rice,April,clay,poorly-drained,94
rice,May,clay,poorly-drained,94
rice,June,clay,poorly-drained,94
rice,July,clay,poorly-drained,94
rice,August,clay,poorly-drained,94
rice,September,clay,poorly-drained,94
rice,October,clay,poorly-drained,94
rice,November,clay,poorly-drained,95
rice,December,clay,poorly-drained,95
rice,January,clay,poorly-drained,95
rice,February,clay,poorly-drained,95
rice,March,clay,poorly-drained,95
rice,April,clay,poorly-drained,95
rice,May,clay,poorly-drained,95
rice,June,clay,poorly-drained,95
rice,July,clay,poorly-drained,95
rice,August,clay,poorly-drained,95
rice,September,clay,poorly-drained,95
rice,October,clay,poorly-drained,95
rice,November,clay,poorly-drained,96
rice,December,clay,poorly-drained,96
rice,January,clay,poorly-drained,96
rice,February,clay,poorly-drained,96
rice,March,clay,poorly-drained,96
rice,April,clay,poorly-drained,96
rice,May,clay,poorly-drained,96
rice,June,clay,poorly-drained,96
rice,July,clay,poorly-drained,96
rice,August,clay,poorly-drained,96
rice,September,clay,poorly-drained,96
rice,October,clay,poorly-drained,96
rice,November,clay,poorly-drained,97
rice,December,clay,poorly-drained,97
rice,January,clay,poorly-drained,97
rice,February,clay,poorly-drained,97
rice,March,clay,poorly-drained,97
rice,April,clay,poorly-drained,97
rice,May,clay,poorly-drained,97
rice,June,clay,poorly-drained,97
rice,July,clay,poorly-drained,97
